Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,PlayerId
"Ozzie Albies","ATL","2B",22.809999465942383,667.315,3.1467995769609707,3.821714093965114,4.766349306667166,0.5270941751906587,2.1541309775588244,14.416088130342732,13.800275170131984,29.21636330047472,"16556"
"Luis Robert","CHW","OF",34.25,658.132,0.41588694287425354,5.010228883923144,0.37931812501559403,2.9721801430401205,4.674949621412089,13.452563716265201,14.497187020258568,28.94975073652377,"20043"
"Mike Trout","LAA","OF",71.13999938964844,648.358,-1.5864150180057324,5.731233646827133,3.0891659761995234,-3.530974161534189,6.810564747637011,10.513575191123747,14.497187020258568,26.010762211382314,"10155"
"Michael Harris II","ATL","OF",28.6299991607666,597.344,6.157830690474641,0.9289272430675741,-0.454838930838332,4.318628393581896,-1.0226520979393434,9.927895298346435,14.497187020258568,25.425082318605007,"25931"
"Bo Bichette","TOR","SS",37.27000045776367,671.448,7.234242938845532,2.0310096264275157,2.8561016896280953,0.046146952352558265,-0.19143256431502087,11.97606864293868,11.884980284173745,24.861048927112424,"19612"
"Jose Altuve","HOU","2B",42.68000030517578,682.076,2.272465483887194,-1.3209884692750842,6.364114873131194,1.9027310511630784,0.4048968104578987,9.62321974936428,13.800275170131984,24.423494919496264,"5417"
"Manny Machado","SDP","3B/DH",64.4000015258789,652.884,1.1084697824606935,5.593135041539362,0.707417246623732,-2.317343220886982,3.939045154302613,9.03072400403942,14.164947568613401,24.195671572652824,"11493"
"Trea Turner","PHI","SS",12.369999885559082,675.931,3.7089610606969328,0.17043443570532824,3.1816718563574002,5.436642024925951,-1.9577655368158626,10.53994384086975,11.884980284173745,23.4249241250435,"16252"
"Marcus Semien","TEX","2B",31,694.762,0.0340176430612722,-0.7171226324642513,5.788578611116224,1.7625550849020113,1.5157622316250037,8.38379093824026,13.800275170131984,23.184066108372242,"12533"
"Paul Goldschmidt","STL","1B/DH",85.3499984741211,675.833,0.9793979544322919,1.9789743651548026,4.3015030876476,-1.3897053522413403,1.5148979895671923,7.385068044560547,14.59844914517603,22.983517189736578,"9218"
"Kyle Schwarber","PHI","OF/DH",94.13999938964844,688.387,-10.220066914135518,2.7859425176242785,6.9412457353478025,-2.4628333337120276,10.053151496002904,7.0974395011274405,14.497187020258568,22.594626521386008,"16478"
"Corey Seager","TEX","SS",31.700000762939453,583.473,6.48066201188723,1.3309004693530306,2.123515184435534,-3.59568640062755,2.352784196939919,8.692175461988164,11.884980284173745,21.57715574616191,"13624"
"William Contreras","MIL","C/DH",78.08000183105469,627.962,1.9232043097998894,-0.9184795896573125,0.5090337267695695,-2.9174951993655376,-0.7197340792349205,-2.1234708316883113,22.138586138571643,21.015115306883327,"20503"
"Randy Arozarena","TBR","OF",44.630001068115234,659.243,-1.4692848694063114,1.4148827104693324,0.4120276893909235,5.0713424985800595,-0.9250539723644191,4.5039140566695846,14.497187020258568,20.00110107692815,"19290"
"Bryan Reynolds","PIT","OF",93.19000244140625,674.094,0.954909862941702,0.5862475088544331,3.3255720108766305,-0.9749824305205448,-0.0000017710682801276305,3.89174518108394,14.497187020258568,19.38893220134251,"19326"
"Yandy Diaz","TBR","1B",136.89999389648438,672.46,7.656915785713091,-3.282512528194564,5.017252140187875,-3.3037249038380305,-2.3466768177140245,3.7412536761543445,14.59844914517603,19.339702821330373,"16578"
"Royce Lewis","MIN","3B",55.060001373291016,603.228,0.5882925985223302,2.403588555735346,-1.251471635459961,0.38871701108982953,1.9236856603535226,4.052812190241068,14.164947568613401,19.21775975885447,"20437"
"Nolan Arenado","STL","3B",103.9800033569336,648.06,-0.5194192875228808,5.511403057005706,-0.2863833633485678,-3.0210430858780724,1.9744298564918086,3.658987176747995,14.164947568613401,18.823934745361395,"9777"
"Gleyber Torres","NYY","2B",83.31999969482422,638.452,1.2170934612370554,1.740398471636945,0.19074294571411538,0.8543346501085317,-0.2900185633048005,3.7125509653918463,13.800275170131984,18.51282613552383,"16997"
"Adolis Garcia","TEX","OF",47.060001373291016,649.941,-6.147521712109935,4.5532653327661246,-0.1676631139565682,0.5804828104380759,3.9508972803978866,2.7694605975355833,14.497187020258568,18.26664761779415,"19287"
"Francisco Lindor","NYM","SS",23.170000076293945,664.784,-2.988546113726787,2.2339786694867314,0.87084350705003,3.74782800093775,0.9021468382543588,4.766250902002083,11.884980284173745,17.65123118617583,"12916"
"Christian Walker","ARI","1B",97.6500015258789,646.147,-2.441093196216236,4.628648928284734,0.022349350728450717,-2.4933702810479996,2.2282085318165246,1.9447433335654731,14.59844914517603,17.543192478741506,"13419"
"George Springer","TOR","OF/DH",124.2699966430664,664.022,-1.8164240909365785,-2.301331458927008,3.175517509988742,1.6094611928543225,0.9273334892879358,1.5945566422674131,14.497187020258568,17.09174366252598,"12856"
"Ketel Marte","ARI","2B",119.68000030517578,676.109,2.679777715093839,-0.16623265392593892,3.4871224112749903,-1.805081869935616,-2.4184089085123786,1.7771766939948968,13.800275170131984,16.577451864126882,"13613"
"Alex Bregman","HOU","3B",97.97000122070312,663.023,0.5030172542028233,2.461872251573536,2.3694482998390263,-3.5664575224177457,-0.7821443657121657,0.9857359174854738,14.164947568613401,16.150683486098874,"17678"
"Jazz Chisholm Jr.","MIA","OF",72.79000091552734,596.873,-4.646498132795694,0.3684980219317619,-2.367615502756236,6.1885389887607305,1.093948525572231,0.6368719007127923,14.497187020258568,16.134058920971363,"20454"
"Christian Yelich","MIL","OF/DH",81.41000366210938,673.643,-0.6615061501270139,-1.7852102512317056,1.8384321313460565,3.9560680055060145,-2.8333699050604326,0.5144138304329184,14.497187020258568,16.011600850691487,"11477"
"Josh Naylor","CLE","1B/DH",124.94999694824219,577.93,4.417025616110097,1.2504807073368165,-3.06555699459928,-1.46512794945068,-1.1173478302274757,0.01947354916947837,14.59844914517603,15.617922694345511,"18839"
"Salvador Perez","KCR","C/1B/DH",130.58999633789062,574.558,-1.0748833436554313,1.0737817439724886,-4.537480240815556,-4.524223694719399,0.9661631549316788,-8.096642380286218,22.138586138571643,15.041943758285425,"7304"
"Adley Rutschman","BAL","C/DH",53.43000030517578,618.907,1.6591362651914514,-3.8786844353230507,1.1067203918844397,-3.4679379195121034,-3.522606478489584,-8.103372176248849,22.138586138571643,15.035213962322795,"26288"
"Andres Gimenez","CLE","2B",101.6500015258789,651.344,0.1034273430268718,-2.109682898015336,-0.5241623273472646,6.236654412473822,-3.7270009026034963,-0.020764372465402695,13.800275170131984,14.779510797666582,"19950"
"Anthony Santander","BAL","OF/DH",143.80999755859375,648.812,-3.3503210369653114,4.021456402357416,-0.6072364690927546,-3.3977887287658013,2.397539925631299,-0.936349906835152,14.497187020258568,14.560837113423416,"14551"
"Vinnie Pasquantino","KCR","1B",186.1699981689453,599.708,2.813216800335682,1.0255088706990043,-0.944741109976929,-3.78945528742688,-0.1706907549275451,-1.0661614812966673,14.59844914517603,14.532287663879362,"27676"
"Cody Bellinger","CHC","1B/OF",62.47999954223633,609.169,-1.2884484216016487,0.8720224060465401,-2.5288226708241988,2.4363717934593234,-0.5234875502709467,-1.0323644431909307,14.497187020258568,14.464822577067638,"15998"
"Eloy Jimenez","CHW","DH",236.42999267578125,607.142,2.685811766768731,3.1110892162088613,-2.3185332795093667,-4.519726957345785,2.547053801632686,1.5056945477551265,11.884980284173745,14.390674831928875,"17484"
"Triston Casas","BOS","1B",109.5999984741211,604.282,-1.054707574288085,2.139649861372551,-0.12023746341543795,-4.094089440950342,1.8515826754840372,-1.2778019417972772,14.59844914517603,14.320647203378753,"22514"
"Nolan Jones","COL","OF",57.16999816894531,604.875,-0.0038310899112351223,-0.5690798409114888,-1.507654049618384,1.6160018308782296,-1.2801350042093933,-1.7446981537722714,14.497187020258568,13.752488866486296,"20529"
"Gunnar Henderson","BAL","3B/SS",32.95000076293945,623.45,-0.9470930723903086,1.4394740679983518,-0.15988556469207063,-0.49939028927607765,0.6989263233116146,0.5320314649515094,11.884980284173745,13.417011749125255,"26289"
"Elly De La Cruz","CIN","3B/SS",25.8700008392334,609.403,-4.715030175158974,-2.182244702534523,-0.23539667737956152,8.773105027367135,-1.1119162926080146,0.5285171796860615,11.884980284173745,13.413497463859807,"26668"
"Nico Hoerner","CHC","2B/SS",65.37000274658203,679.217,4.2963776563976035,-6.409943730926844,1.5248893975277706,8.518588946418244,-8.214843889567678,-0.284931620150903,11.884980284173745,12.600048664022843,"21479"
"Rhys Hoskins","MIL","1B",189.39999389648438,634.6,-5.991108889537034,3.001072685381274,-0.08296815287308922,-3.38724181837537,3.3411109267711145,-3.1191352486331043,14.59844914517603,12.479313896542926,"16472"
"Marcell Ozuna","ATL","DH",165.02999877929688,594.095,-2.3284024013269207,3.092712975095461,-1.1105723802738612,-4.165138032776763,3.763788874881699,-0.7476109644003853,11.884980284173745,12.137369319773361,"10324"
"Jorge Soler","SFG","OF/DH",170.24000549316406,624.486,-5.562721540605802,2.62066655379167,-0.3368075296649778,-4.130758358264172,4.04602631115642,-3.3635945635868616,14.497187020258568,12.133592456671707,"14221"
"Spencer Torkelson","DET","1B",117.77999877929688,652.48,-5.689301483985726,2.6272840509401774,-0.35942511010347533,-3.6357074095482855,2.9849183901542413,-4.072231562543067,14.59844914517603,11.526217582632963,"27465"
"Teoscar Hernandez","LAD","OF/DH",124.2699966430664,572.078,-1.6673803986093452,1.309435892041354,-3.557551937530163,-2.052443872201922,1.718674256895886,-4.24926605940419,14.497187020258568,11.24792096085438,"13066"
"Xander Bogaerts","SDP","SS",107.3499984741211,661.019,2.898650201401087,-2.5302989106130473,0.7912398255341168,0.2159193349111111,-3.3029641870069257,-1.927453735773658,11.884980284173745,10.957526548400088,"12161"
"Cedric Mullins II","BAL","OF",148.35000610351562,632.937,-3.674242860208782,-5.76939461112353,0.4769796408029855,7.3086789025022565,-3.547174972737942,-5.2051539007650085,14.497187020258568,10.29203311949356,"17929"
"Brandon Nimmo","NYM","OF",199.35000610351562,675.367,0.9866474151540925,-4.876058125421075,4.016889595454569,-2.349392620104324,-3.1415357805109947,-5.363449515427732,14.497187020258568,10.133737504830837,"12927"
"Will Smith","LAD","C",84.5999984741211,523.599,-1.6385418489552828,-1.950217106930855,-4.1724216711855675,-3.9541588899384887,-1.9549255479283407,-13.670265064938535,22.138586138571643,9.468321073633108,"19197"
"CJ Abrams","WSN","SS",40.560001373291016,622.724,-0.916947750194045,-6.263780851906394,-1.18042731018334,9.736268069105193,-4.863051797362683,-3.4879396405412693,11.884980284173745,9.397040643632478,"25768"
"Luis Arraez","MIA","2B",163.05999755859375,653.097,13.550722108561734,-7.152816733342701,0.38716003034204116,-2.498480337249845,-9.773572732437447,-5.486987664126219,13.800275170131984,9.313287506005764,"18568"
"Lane Thomas","WSN","OF",122.13999938964844,660.067,-4.336728495238874,-2.3794676462107205,-0.16375884619829453,1.417204952865075,-0.9950575790471499,-6.4578076138299645,14.497187020258568,9.039379406428605,"16939"
"Matt McLain","CIN","2B/SS",70.51000213623047,596.414,-2.6070396986639826,-0.9404823832359089,-1.8018589785997503,2.0831321167070143,-1.3203222598976276,-4.586571203690256,11.884980284173745,8.298409080483491,"29695"
"T.J. Friedl","CIN","OF",157.97999572753906,609.858,-2.3964347132232344,-5.780848365870502,0.31674019722211594,4.200200623790021,-3.562485244505956,-7.2228275025875535,14.497187020258568,8.274359517671016,"19522"
"Oneil Cruz","PIT","SS",77.91999816894531,585.822,-3.201995265576746,-4.746155784998109,-0.07678043669453094,3.660386099307057,-0.3106367413352324,-4.675182129297561,11.884980284173745,8.209798154876186,"21711"
"Riley Greene","DET","OF",167.49000549316406,644.987,2.013068853229887,-3.674541568215029,0.09048811898594133,-1.4522100236640578,-4.445620528556741,-7.46881514822,14.497187020258568,8.028371872038568,"25976"
"Ian Happ","CHC","OF",163.58999633789062,659.305,-4.052076167674217,-0.13317848633325885,-0.8505143010513644,-0.3242215002368119,-2.197161764271141,-7.5571522195667935,14.497187020258568,7.940034800691776,"17919"
"Francisco Alvarez","NYM","C",150.11000061035156,526.963,-6.722361826720379,-2.1205676812801353,-4.951590047440364,-3.688237676209594,2.0005419765409713,-15.482215255109502,22.138586138571643,7.656370883462142,"26121"
"Josh Jung","TEX","3B",131.3300018310547,612.932,-3.269542485659269,1.0920554677017131,-2.962615898174174,-3.147565172997947,0.7174451231552919,-7.570222965974385,14.164947568613401,7.594724602639016,"26299"
"Steven Kwan","CLE","OF",213.25,691.644,4.158750130318692,-8.040677509262899,2.2753502030373607,3.27325767600494,-9.758942433133175,-8.092261933035081,14.497187020258568,7.404925087223488,"24610"
"Seiya Suzuki","CHC","OF",111.9000015258789,576.962,-0.17144773261986543,-1.7417736355566849,-3.325300444185579,-1.2068103687478937,-1.838869849467513,-8.284202030577536,14.497187020258568,7.212984989681033,"30116"
"Cal Raleigh","SEA","C",138.2100067138672,541.355,-7.136826128222516,-1.4775991512102868,-5.119108876695085,-4.2767391066589315,1.763985737973215,-16.246287524813603,22.138586138571643,6.892298613758039,"21534"
"Ke'Bryan Hayes","PIT","3B",159.64999389648438,621.706,-0.027638935644769155,-2.501814455419976,-2.80459316339379,2.175274919171723,-5.298013992597446,-8.456785627884258,14.164947568613401,6.708161940729142,"18577"
"Jake Burger","MIA","3B/DH",150.64999389648438,607.95,-3.701757583772633,0.9653439808612,-3.207392988020424,-3.933678266155412,1.3844574883539356,-8.493027368733335,14.164947568613401,6.671920199880067,"22275"
"Nathaniel Lowe","TEX","1B",214.9199981689453,610.602,0.7417719075768267,-1.0988384236366937,-2.146735963913925,-3.7672168452453985,-2.6876214869621533,-8.958640812181343,14.59844914517603,6.639808332994686,"19566"
"Andrew Vaughn","CHW","1B",242.16000366210938,618.627,-0.6162155268424873,-0.46464025578303164,-3.194335858118212,-4.396107285658846,-0.3541573338976688,-9.025456260300246,14.59844914517603,6.572992884875785,"26197"
"Nick Castellanos","PHI","OF",110.3499984741211,610.752,-1.1742822815267073,-0.28323830741966793,-3.921955028751406,-1.9539651068615782,-1.7465195806387275,-9.079960305198087,14.497187020258568,6.417226715060482,"11737"
"Josh Bell","MIA","1B/DH",285.510009765625,629.604,-1.5451768853562997,-1.6103924818669924,-0.848047318676631,-4.254582437072402,-1.2847647041703125,-9.54296382714264,14.59844914517603,6.0554853180333925,"13145"
"Masataka Yoshida","BOS","OF/DH",193.72999572753906,549.83,5.865661359962134,-3.3046152762227314,-4.135462223163716,-2.9689626172211794,-5.162141953764729,-9.705520710410221,14.497187020258568,5.791666309848346,"31837"
"J.T. Realmuto","PHI","C",73.30000305175781,513.145,-2.6706090196307493,-4.766713083459836,-6.668732533484063,0.8252286744520468,-4.257709107940517,-17.53853507006312,22.138586138571643,5.600051068508521,"11739"
"Daulton Varsho","TOR","OF",215.19000244140625,578.058,-6.132106647677614,-1.8186001632575597,-3.7240076999837908,1.8366283855624603,-0.29563613668057515,-10.133722262037077,14.497187020258568,5.3634647582214905,"19918"
"Nolan Gorman","STL","2B/DH",191.72999572753906,534.856,-4.048728533976161,-0.7366086242613472,-4.176669171274239,-2.3546252864664194,1.6794124702232374,-9.63721914575493,13.800275170131984,5.163056024377054,"22263"
"Thairo Estrada","SFG","2B/SS",134.7899932861328,616.453,-1.6708426186348355,-4.759221625611235,-2.6634126483813914,4.2859653587771644,-4.87150935962598,-9.679020893476277,13.800275170131984,5.121254276655707,"16426"
"Dansby Swanson","CHC","SS",120.5199966430664,666.266,-3.944839389102516,-1.8513877856513843,0.09011151684564386,-0.3159229950823216,-1.7723844379738025,-7.79442309096438,11.884980284173745,5.090557193209365,"18314"
"Ryan Mountcastle","BAL","1B/DH",244.50999450683594,557.418,-0.4415802862366619,-1.9483025947813835,-4.770575513639034,-3.1035378917106873,-0.5136111710053843,-10.777607457373152,14.59844914517603,4.820841687802878,"18373"
"Kris Bryant","COL","OF/DH",274.3800048828125,583.505,0.984157985572384,-3.7922520287249624,-1.6614888732563466,-3.5100437884788755,-2.87639714963619,-10.85602385452399,14.497187020258568,4.641163165734577,"15429"
"Taylor Ward","LAA","OF",230.47999572753906,578.862,-0.3795630280434898,-3.0239483076971525,-2.859205240852621,-2.279774805028677,-2.489029494538833,-11.031520876160773,14.497187020258568,4.465666144097796,"17548"
"Jung Hoo Lee","SFG","OF",249.57000732421875,625.09,6.362575931675026,-8.30999195895838,0.14497386787872396,-1.0696593062495672,-8.250277813937949,-11.122379279592144,14.497187020258568,4.374807740666425,"sa3012640"
"Christian Encarnacion-Strand","CIN","1B/DH",162.32000732421875,489.139,0.8140569841316122,-2.7116009045268408,-5.959139019091371,-3.7109666564964328,0.2789023283322391,-11.288747267650791,14.59844914517603,4.309701877525239,"30011"
"Willson Contreras","STL","C/DH",136.10000610351562,492.449,-2.441831689345393,-5.010261070110189,-6.041772202634614,-2.60411298634406,-2.816764447647197,-18.91474239608145,22.138586138571643,4.223843742490191,"11609"
"Willy Adames","MIL","SS",183.8300018310547,641.792,-6.8497989966808905,0.40487887864092625,-1.3918417408033645,-1.8707344451387493,0.6317615280749105,-9.075734775907168,11.884980284173745,3.809245508266578,"15986"
"Josh Lowe","TBR","OF/DH",81.23999786376953,529.81,-1.3942283325064195,-4.415870402531747,-5.663465818474415,4.066605840725091,-4.637915563861294,-12.044874276648784,14.497187020258568,3.452312743609784,"19953"
"Isaac Paredes","TBR","1B/3B",188.27000427246094,557.644,-3.6765793282484296,-1.2983475049799973,-3.423274206051319,-4.201725226227819,0.69022149833423,-11.909704767173336,14.164947568613401,3.2552428014400654,"20036"
"Trevor Story","BOS","SS",176.13999938964844,634.085,-7.851541083888957,-1.4456188532168417,-2.6352628301730814,4.703550223856933,-2.5030434032201305,-9.731915946642077,11.884980284173745,3.15306433753167,"12564"
"Starling Marte","NYM","OF",220.86000061035156,565.372,-0.4704802351146137,-6.959087069532272,-5.552651830470812,7.272745743614285,-6.68000474592402,-12.389478137427433,14.497187020258568,3.1077088828311354,"9241"
"Byron Buxton","MIN","DH",248.75,560.602,-7.400862789801709,-1.988176731356317,-1.9057677995119497,-0.6733735218850696,2.1257958479658634,-9.84238499458918,11.884980284173745,3.0425952895845647,"14161"
"Zack Gelof","OAK","2B",136.6699981689453,636.921,-6.865415850809912,-4.540936485356248,-1.7260332362760615,3.6502482468201,-2.333465924132765,-11.815603249754888,13.800275170131984,2.984671920377095,"29766"
"Mitch Garver","SEA","C/DH",179.88999938964844,518.973,-5.902682943822706,-3.488270044103345,-6.11203472093644,-4.192322937238008,-0.6850407655654169,-20.38035141166592,22.138586138571643,2.758234726905724,"15161"
"Gabriel Moreno","ARI","C",153.86000061035156,516.569,4.074704183301936,-6.928147322988205,-7.310687826767759,-1.9721156990102957,-8.420411045411264,-20.55665771087559,22.138586138571643,2.581928427696052,"22664"
"Wyatt Langford","TEX","OF",153.8300018310547,530.496,-0.17274411930575184,-4.783510556856938,-5.218334006432066,-0.08409544671239791,-2.717314206599606,-12.97599833590676,14.497187020258568,2.5211886843518085,"sa3022654"
"Alec Bohm","PHI","1B/3B",170.3800048828125,590.908,2.830463429738292,-3.3057583450562844,-4.856428883837606,-2.9924273559338768,-4.383579958709133,-12.707731113798609,14.164947568613401,2.457216454814793,"21618"
"Yainer Diaz","HOU","C/DH",108.68000030517578,421.008,1.3804799714699758,-6.32730574901054,-9.459653529598421,-4.213580254476596,-2.7233639010042863,-21.343423462619864,22.138586138571643,1.7951626759517783,"23003"
"Anthony Rizzo","NYY","1B",273.7099914550781,556.917,-4.871583068200605,-1.49899709222225,-3.7642159373551696,-2.917004758724537,-0.8525800934238023,-13.904380949926363,14.59844914517603,1.6940681952496668,"3473"
"Jeff McNeil","NYM","2B/OF",308.1400146484375,617.61,5.653949508319785,-5.222366975034016,-2.788909352740896,-2.5004834247009287,-8.448992848997564,-13.306803093153619,13.800275170131984,1.4934720769783645,"15362"
"Jeremy Pena","HOU","SS",211.97000122070312,594.595,-0.2754806342930982,-3.34603742529871,-3.776619972406486,0.4858468697387078,-4.669707661685502,-11.581998823945089,11.884980284173745,1.3029814602286578,"21636"
"Carlos Correa","MIN","SS",243.80999755859375,603.999,-0.7735200115236442,-1.6513763691256222,-2.294416441183229,-4.411314478612796,-2.754352983728456,-11.884980284173745,11.884980284173745,1,"14162"
"Jorge Polanco","SEA","2B",248.8699951171875,614.768,-4.705306966911522,-1.9465905544656583,-3.1409417787207223,-2.180233288347022,-1.827202581687058,-13.800275170131984,13.800275170131984,1,"13152"
"Jeimer Candelario","CIN","1B/3B",215.47999572753906,580.702,-3.4565516786093284,-1.4364486732023725,-4.026116506795704,-3.013235021364583,-2.2325956886414122,-14.164947568613401,14.164947568613401,1,"13621"
"Evan Carter","TEX","OF",133.41000366210938,595.699,-3.1618867000650006,-6.4004365250119,-0.95051885420529,1.5168283396060382,-5.501173280582416,-14.497187020258568,14.497187020258568,1,"27790"
"Jose Abreu","HOU","1B",289.1400146484375,603.603,-0.9260704769872584,-1.7919610209796408,-3.542275715269616,-4.331681177549552,-4.006460754389966,-14.59844914517603,14.59844914517603,1,"15676"
"Logan O'Hoppe","LAA","C",152.49000549316406,455.658,-2.368279759823822,-6.225753309713915,-7.927119982593828,-3.506078548606362,-2.1113545378337157,-22.138586138571643,22.138586138571643,1,"24729"
"Bryson Stott","PHI","2B",108.86000061035156,562.895,0.6043569399995451,-5.872055519636548,-5.515036904040215,2.6818127732625667,-7.063297864725659,-15.164220575140313,13.800275170131984,-0.36394540500832817,"26294"
"Tyler O'Neill","BOS","OF",216.0800018310547,528.548,-3.518230239469745,-4.731206187450765,-5.822518250245993,0.2670596623869438,-2.0986381696806315,-15.903533184460189,14.497187020258568,-0.40634616420162084,"15711"
"Brendan Rodgers","COL","2B",337.760009765625,577.593,2.4675878192532985,-2.710760261976604,-5.062373049191917,-4.403424738968711,-5.5166684106652495,-15.225638641549184,13.800275170131984,-0.4253634714171983,"17907"
"Jordan Walker","STL","OF",124.77999877929688,532.293,0.3062811256717367,-4.633350781320958,-6.347504017378503,-1.201700507474761,-4.2524000242366045,-16.128674204739088,14.497187020258568,-0.6314871844805192,"27475"
"Christopher Morel","CHC","OF/DH",191.42999267578125,506.782,-4.309435576509541,-4.536166864057499,-6.264900628308384,-0.8270802698052973,-0.4390390913195084,-16.376622430000232,14.497187020258568,-0.8794354097416628,"21897"
"Spencer Steer","CIN","1B/3B/OF",116.4000015258789,554.916,-2.6677797020217584,-3.7077982076414546,-4.763546401539432,-1.4837280472107444,-3.45439258288025,-16.07724494129364,14.164947568613401,-0.9122973726802377,"26323"
"Ty France","SEA","1B",311.8699951171875,600.742,1.0629420410759418,-4.289123034606772,-3.8438815913751823,-4.361482366459666,-5.1439316435929126,-16.57547659495859,14.59844914517603,-0.97702744978256,"17982"
"Max Kepler","MIN","OF",280.5400085449219,561.422,-3.411003535327484,-3.0946596734319782,-4.558569960672214,-3.2603518033103884,-2.2676598963820473,-16.592244869124112,14.497187020258568,-1.095057848865543,"12144"
"Brandon Drury","LAA","1B/2B",219.1699981689453,563.819,-3.748131740988876,-2.444202248448134,-5.337552419414712,-3.6356665719829877,-0.8467776617332096,-16.012330642567917,13.800275170131984,-1.212055472435933,"11615"
"Jonah Heim","TEX","C",173.6199951171875,517.842,-3.8602756533990124,-5.150579176765353,-7.38760523858674,-3.8048260012046455,-4.274376969753023,-24.477663039708773,22.138586138571643,-1.3390769011371302,"16930"
"Keibert Ruiz","WSN","C",170.0500030517578,477.473,1.004818450661636,-7.349939722569326,-9.07387945869422,-3.6195600023150076,-5.651984697112017,-24.690545430028937,22.138586138571643,-1.5519592914572957,"19610"
"Ryan McMahon","COL","2B/3B",228.2100067138672,577.512,-4.54903420074455,-3.450912709309912,-4.479214169172699,-1.9269846338877146,-2.463041005846714,-16.86918671896159,13.800275170131984,-2.068911548829605,"15112"
