Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Proj Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Erick Fedde","SP","KBO",2024,"30.8861111","UNLV","NC Dinos","CHW",,"6' 4""","203","R","R","45","Low","Fedde had an incredible 2023 season for the KBO's NC Dinos, as he posted a 2.00 ERA in 180.1 IP while striking out 209 and walking just 35. According to a <em>Washington Post</em> article by Jesse Dougherty, Fedde went to Push Athletic in Scottsdale and remade his body, mechanics, and the shape of his three most-used pitches. He hasn't had a significant arm strength boost, but Fedde's arm slot has raised a bit, his fastball looks heavier (70% GB% in 2023!), and he has upped his changeup usage. His newly-shaped slider was easily his most dominant pitch in 2023 and generated 41% of Fedde's swings and misses. The chase rate on his changeup and slider was up around 40% for both pitches, and Fedde looked rejuvenated despite working as many innings as he did. He has a chance to make an impact similar to the one Merrill Kelly has made in Arizona and slot into a contending team's rotation.","-oxQ85lI5ok","17425"
"Kazuma Okamoto","1B","NPB",2025,"27.5388888","Japan","Yomiyuri Giants",,,"6' 0""","212","R","R","45","Med","Okamoto has been one of NPB's most productive power hitters since debuting in 2018. He has six straight seasons of clubbing 30 or more home runs, including a 2023 campaign in which he hit 41 of them while slashing .278/.374/.584, good for a 178 wRC+. Okamoto has a potent contact and power combo. His swing has a little more movement and noise, but it's similar to Tommy Pham's. Okamoto's front foot tends to land open, enabling him to pull the baseball in the air a ton, but he still has great plate coverage on the outer third of the zone, similar to Pham. His hands are deft and strong, capable of putting a charge into the ball even when he doesn't square it up. On defense, Okamoto has seen time at third and first base, and isn't especially good at either. He hits well enough that he'll be a meaningfully good role player in MLB if he comes over during this mid-20s physical peak, probably a tad shy of the average corner infield regular.","Kgf4VsMzAvw",
"Victor Hurtado","RF","Int'l Amateur",2024,"16.6388888","Dominican Republic",,"WSN",2700000,"6' 2""","175","L","L","45","High","Hurtado is an ultra-projectable left-handed hitting outfield prospect with a lovely swing, one that features power-promising loft without compromising contact. He is as loose and flexible as any prospect in this class, and the way his body moves when he's throwing from the outfield is reminiscent of Ichiro. Hurtado's swing has some length, but it's likely to shorten up as he gets stronger and doesn't have to use his whole body to ignite it. He's expected to sign with the Nationals for between $2.5 million and $3 million.",,
"Adolfo Sanchez","RF","Int'l Amateur",2024,"17.3194444","Dominican Republic",,"CIN",2800000,"6' 3""","180","L","L","45","High","Though he is much more likely to end up defending a corner position than your typical top-of-the-class international prospect, Sanchez's present hit and power combination is very exciting, and his FV grade has been juiced above my typical heuristic for a prospect like this because he looks like such a smooth and dangerous hitter. Sanchez has a dynamic and beautiful left-handed swing that combines natural loft and barrel precision to give him one of the better looking present offensive toolsets in the class. His top hand drives the quality of his contact, and Sanchez is shorter to the baseball than most players his size and age. He's also become meaningfully stronger during the last year or so, and could be poised to move quickly through complex-level ball. The Reds have gravitated toward international prospects who the industry perceives as having more polished hit and power combinations, and that's again the case with Sanchez, whose rumored bonus with Cincinnati is a little less than $3 million.",,
"Jose Perdomo","3B","Int'l Amateur",2024,"17.3166666","Venezuela",,"ATL",5000000,"6' 1""","195","R","R","45","Med","Perdomo is expected to get the highest bonus in the 2024 class and reportedly has a verbal agreement with the Braves. While he isn't as likely to stay at shortstop as some of his peers, he may have the most polished hit/power combination in the whole group. He has easy pull-side power, with deft, precise control of the barrel working together to generate big all-around offense, enough that Perdomo could profile as an everyday bat even if he ends up in a corner. Perdomo does some slick things at shortstop, he's just rather stocky and slightly stiff compared to most typical top-of-the-class prospects. His vertical barrel variability is incredible for a player his age, though his front side is a little stiff through contact and he might be tested by pro breaking stuff in the bottom third of the zone. Perdomo has a great offensive foundation for an amateur prospect, and it might allow him to move quickly through the lower minors. This is pretty consistent with Atlanta's M.O. when they're operating at the top of the international market, though Perdomo has less physical projection and athleticism than most of the industry tends to associate with a $5 million prospect. Until he generates a season of data, it's tough to get an actual grip on just how good Perdomo's hit tool might be. If it is indeed exceptional, then Perdomo has big ceiling.",,
"Robert Arias","CF","Int'l Amateur",2024,"17.3361111","Dominican Republic",,"CLE",1900000,"6' 2""","180","L","L","45","Med","The Guardians always seem to have prospects who qualify as ""high-probability hitters"" atop their international signing class, and Arias is the most recent. Teams that manually track swings decisions and rates of squared-up contact in the international space indicate Arias' performance is very special. The lefty-hitting outfield prospect just seems to sear line drives all over the place despite a somewhat odd-looking swing. If you look past his choppy, downward cut, Arias checks all the boxes. He runs well, his broad-shouldered frame is very projectable, and he tracks pitches as if his eyes are fitted with some kind of baseball-seeking laser. He also makes flush, loud contact with remarkable consistency. There are scouts who think Arias needs to get much stronger, and others who view the way he's performed despite a lack of strength as encouraging. I am mostly in the latter camp. Arias' feel for the barrel is quite special and he could be a table-setting center fielder even if he fails to develop power.",,
"Yariel Rodriguez","SIRP","NPB",2024,"26.8444444","Cuba","Chunichi Dragons",,,"6' 1""","200","R","R","45","Med","Rodriguez’s fastball underwent a nearly three-tick velocity bump in 2022, going from sitting 92-93 mph to sitting 94-96 and touching 100 in a relief capacity for the Chunichi Dragons. The added velocity came with (and was likely because of) a full-time move to the bullpen, and Rodriguez posted a 1.15 ERA in his 54 innings. Then Rodriguez pitched for Cuba's 2023 WBC team as a starter. After a rough-looking February tuneup before the actual competition began, he was nasty across 65-to-70 pitches in each of his two WBC starts, when Yariel sat 95, touched 98, and bent in a good vertical breaking ball in the 83-87 mph range. After his WBC performance, Rodriguez chose to opt out of the 2023 NPB season and focus on training to come to MLB the following year. Chunichi put him on the restricted list and Rodriguez wasn’t heard from until October, when he threw live BP for teams in the Dominican Republic and looked like his usual self. 
There may be teams that view Rodriguez as a potential MLB starter because of his repertoire depth and brief success in the WBC, but hold your horses. He started for multiple seasons in Japan and wasn't very good, with a FIP near 5.00 in 2021 prompting a bullpen move the following year. He only came into impact velocity once he moved to the 'pen and there is zero evidence that he'd be able to sustain it as a starter, in fact quite the contrary. As a relief candidate, Rodriguez is exciting and has the stuff to pitch in higher-leverage innings. His vertical fastball/breaking ball combo looks similar to Peter Fairbanks' stuff (minus a few ticks of velo) and is on par with the second- or third- best reliever coming out of a contender's bullpen.","kFqDEzmdPrc","sa3023349"
"Raidel Martinez","SIRP","NPB",2025,"27.2583333","Cuba","Nagoya Dragons",,,"6' 3""","205","R","R","45","High","Martinez is under contract with Chunichi through the 2024 season, making him more likely to pursue an MLB contract in 2025 even though he already meets the requirements to avoid a bonus restriction. There is a very small minority of my sources who believe this might change, but mostly the front office personnel I've spoken with to gauge Martinez's 2023-24 offseason plans have received no indication that he plans to depart NPB a year early. 
Martinez is a very long and lanky 6-foot-4 righty whose fastball will peak in the 99-100 mph range. His money pitch, however, is a low-90s splitter that is not only capable of missing bats but also enables him to generate a ton of groundballs. Across 46.2 innings in 2023, Martinez posted a 58% GB%, a 36% K% and a paltry 2% BB%. The incredibly low walk rate marks three straight seasons Martinez has walked fewer than 6% of opposing hitters. His height, lever length, and extremely vertical arm slot creates downhill plane on his fastball that detracts somewhat from its ability to miss bats. But Martinez's velocity and ability to consistently locate it to the top of the zone helps keep it from getting tagged, and opposing hitters slugged just .256 against his heater in 2023. He looks like a potential set-up man and he could be one of the better relievers on the open market next offseason.","6iyMM4AJmfw","sa3023350"
"Daiber De Los Santos","SS","Int'l Amateur",2024,"17.2722222","Dominican Republic",,"MIN",1900000,"6' 1""","170","R","R","40+","High","There was a point during the scouting process when it sounded like De Los Santos was going to be a Yankee, but instead he went back to the open market and is expected to get a $1.9 million deal from the Twins. There are some scouting concerns that De Los Santos is going to strike out a lot, but he checks every other box. He's an electric athlete with plus bat and foot speed, plus future raw power, and a huge arm. An athletic fit at shortstop due to his physical tools, De Los Santos' hit tool doesn't even have to be very good for him to make a big league impact if the rest of his skills are as advertised. He's one of the higher-variance international prospects in the 2024 class, which is really saying something.",,
"Yandel Ricardo","3B","Int'l Amateur",2024,"17.2722222","Cuba",,"KCR",2400000,"6' 2""","185","R","R","40+","High","Industry word-of-mouth once favored the Padres as suitors for Ricardo, but at some point things changed and he's now expected to join the Royals for a little shy of $2.5 million. Ricardo is a classic high-variance switch-hitting shortstop prospect with hit tool question marks. Some of those stem from his relative newness to switch hitting. His fledgling left-handed swing is long and sometimes out of control, but Ricardo swings with exciting verve and natural loft. There is no consensus about whether Ricardo will be able to stay at shortstop — international scouts and execs have mixed shortstop and third base projections here. Staying at short will give his risky hit tool some margin for error. Purely from a frame and profile standpoint, Ricardo is similar to Mets shortstop prospect Ronny Mauricio.",,
"Yuki Matsui","SIRP","NPB",2024,"28.2055555","Japan","Sendai Golden Eagles","SDP",,"5' 8""","167","L","L","40+","Med","Matsui's combination of splitter quality, fastball shape and angle, and excellent command make him a viable, platoon-neutral big league middle reliever. He first appeared on the International Players section of The Board last year when he posted the second-highest swinging strike rate in NPB behind Livan Moinelo (a name to stash away for next offseason). Despite sitting mostly 91-94 throughout the season, he ranked fourth in K% in 2023 among pitchers who threw at least 40 innings (32.4%) because his fastball misses a ton of bats at the letters thanks to its flat approach angle and vertical movement. The supremely athletic 5-foot-8 lefty has a due north arm slot that helps impart a nearly perfect back spinning axis on his fastball. Sometimes pitchers with this high a slot end up having a steep, downhill fastball angle, but Matsui's lack of size helps counterbalance that, and his bouncy on-mound athleticism should enable him to hold up across a typical 60-inning big league relief workload despite being so small. As pedestrian as Matsui's fastball velocity is, his splitter is quite firm (usually 86-88 mph). It's his most-used secondary pitch; his usage of it has increased in each of the last several seasons and grew to a career-high 35% in 2023. Matsui also has a true two-plane mid-80s slider that is of big league quality, but his usage of it was cut nearly in half in 2023, way down to 10%. It’s a good looking pitch and probably deserves more air time. Despite lacking typical big league reliever arm strength, Matsui looks like a very stable and versatile big league middle reliever. I've gassed his FV a little bit above my typical 40 FV for a role like this because Matsui's mix should enable him to get hitters of both handednesses out. That said, I don't think he has stuff quite on par with a contender's set-up man, which is more a 45 FV for me.","p23yG-9wJ18","sa3023348"
"Jorge Quintana","SS","Int'l Amateur",2024,"16.775","Venezuela",,"MIL",1700000,"6' 2""","170","S","R","40+","Med","Quintana is the latest prospect to fit what seems to be Milwaukee's favorite archetype: the hitterish Venezuelan shortstop. Though scouts universally believe Quintana will need to get stronger, he is a virtual lock to stay at short and has fantastic, advanced feel for contact from both sides of the plate. There is some disagreement about how projectable Quintana is (he's a bit thicker than most hitters this age), but if he hits and plays shortstop, he'll be a high-floor utility prospect. If the power arrives, Quintana could be an impact player.",,
"Ashly Andujar","SS","Int'l Amateur",2024,"16.4583333","Dominican Republic",,"COL",1300000,"6' 1""","155","S","R","40+","High","This is a fairly bullish grade and placement for Andujar, who some scouts think is simply too frail to be a viable offensive player in pro ball. I'm willing to project more growth (literally) and skill development here because Andujar is so young. His skill foundation (switch-hitting feel for contact and great defensive actions) has him primed to break out if he can develop big league physicality. After initial rumors had the Yankees on Andujar, he is now poised to sign with Colorado for $1.3 million.",,
"Naibel Mariano","SS","Int'l Amateur",2024,"17.3555555","Dominican Republic",,"CIN",1650000,"6' 3""","170","R","R","40+","High","Mariano is a wiry shortstop prospect with a gorgeous swing, though there is disagreement in the international scouting community as to whether or not he's actually going to hit. He need only hit <em>enough</em> to tap into what could be explosive power at maturity. While some of the prospects in the 40+ FV tier have more present power than he does, Mariano has a better chance to stay at shortstop and should catch the others in the power department as he fills out. Variability around teams' assessment of his hit tool is what makes Mariano more akin to a second-round draft prospect rather than a first.",,
"Dawel Joseph","CF","Int'l Amateur",2024,"16.6638888","Dominican Republic",,"SEA",3500000,"5' 10""","150","R","R","40+","High","Joseph, who reportedly has a verbal deal with Seattle for what would typically be a top-five bonus in any given year of about $3.5 million, is one of the fastest players in the 2024 class and is likely to remain at an up-the-middle position. While he'll show you glimpses of in-game power and certainly rotates with the sort of explosion that might lead to power eventually, Joseph will probably have to get much stronger to do extra-base damage against upper-level arms. His defensive foundation, overall athleticism, and wiry build support projection in this area. Scouts are mixed as to whether Joseph will be able to remain on the infield. About a year ago, he was written up at the site as a good-fielding shortstop prospect, and the Mariners might very well deploy him at short initially in pro ball, but as signing day has approached, I've talked to more and more scouts who think he's going to move to the outfield, where the hope is he retains enough speed to remain in center.",,
"Woo-jin An","SP","KBO",2028,"24.3722222","South Korea","Kiwoom Heroes",,,"6' 3""","198","R","R","40+","High","An is the best pitcher in the KBO, but his future is clouded by compulsory military service, which he still needs to complete because of an incident that occurred in high school and has since barred him from competing with Korea's national team, blocking the pathway to an exemption. An's fastball velocity improved into the 92-97 mph range in 2022 even though he nearly doubled his previous season's innings mark. He will top out at 99, working with downhill angle in most of the zone. While his fastball command is a bit scattershot, An fills the zone with an array of breaking balls, most frequently his mid-80s slider and upper-70s curveball, which have distinct shape and utility. He'll tend to use the curveball as a finishing pitch, while the slider and cutter are more neutral, strike-garnering offerings. An projected as a reliever at this site throughout 2021, but while there are still some reliever-y elements here (fastball strike quality, a lack of changeup feel), his demonstrated durability moves him firmly into the starter bucket. He may not be an MLB factor for a while because of the military service issue.","xt32c-dkSmE","kr3012678"
