Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
31,0,"Curtis Mead","TBR","3B","ST",2024,"55","Med",,"23.3777777","6' 2""","190","R","R",2017,"J2","PHI",200000,"Australia","Mead had a bit of a power outage in 2023 as far as his Trackman data is concerned. Mead missed nearly two months with a left wrist fracture, and his exit velos were down across the board even as hs slugged .515 in limited action at Durham (only 61 games). It's common for hitters returning from wrist injuries to experience a decline in power, so we're not sweating the underlying dip here. In fact, Mead also underwent a pretty significant swing change in 2023, one that incorporated more movement in his lower body, and it's remarkable that he performed as well as he did amid both the injury and the changes. We have this down as the second significant swing change for Mead in the last three seasons. 
Healthy Mead blends plus in-zone contact with above-average power. He's much more athletic in the batter's box than he is on defense, and the way his swing unwinds from the ground up is beautiful and violent. We also love how much his top hand is involved in driving the quality of his contact. Historically, Mead has raked despite having a hyper-aggressive approach at the plate. His swing decisions against fastballs were still pretty terrible in his small-ish 2023 sample but his breaking ball chase was fine. If he has at least learned how to parse breaking balls and fastballs from one another, he'll have leveled up his plate discipline enough to stabilize his entire offensive profile. 
Though the Rays deployed Mead at second base in their Wild Card round loss to the Rangers, we think he looked better at third base than ever before in 2023. He's still quite tentative making routine throws but his range has improved. Plus, he doesn't seem comfortable throwing back across his body, which second basemen have to do regularly but third basemen do not. An elbow sprain (which happened amid a throwing program to try to improve his arm strength) ended his 2022 and required a PRP injection, which is often a precursor to Tommy John for pitchers. That's a useful medical detail to file away but not something that's threatening Mead's profile. We aren't inclined to come off our 2023 grade for Mead because we think the reasons for doing so (his power looks pedestrian on a spreadsheet) are impermanent. He projects as an above-average everyday third baseman.","txl_FqwuORc","23986"
32,0,"Matt Shaw","CHC","2B","ST",2025,"55","High",,"22.35","5' 11""","185","R","R",2023,"Draft","CHC",4850000,"Maryland","Shaw’s final season at the University of Maryland was electrifying enough to earn him the 13th overall selection in the 2023 draft, and if the college season tired him out, he certainly didn't show it. He immediately hit the ground running as a pro, putting up disgusting numbers on the complex and then leapfrogging to High-A, where he racked up a 197 wRC+ over 20 games before finishing the season with 15 games at Double-A. His numbers dipped slightly at the higher level, but he still performed well above the league average over his short stint in Tennessee, which is where he'll likely begin his 2024 season unless his performance as a non-roster invitee to spring training forces a more advanced assignment. It might. Shaw has looked quite electric this spring, if a bit chase prone.
Shaw's pro Trackman data last year was elite: He posted a 91% zone contact rate and plus peak exit velos. He's a powerful, short-levered hitter with really explosive wrists and a bit of an odd swing that, so far, has worked for him. His quick hands allow him to barrel up offerings throughout the zone, and he’s shown an ability to scatter hard contact all over the field. He's also a fast dead-ahead runner, though Shaw's lateral range on defense is not as good. Having stuck to the middle infield as an amateur, Shaw has now seen pro reps at all non-first base infield spots, including new work at third. With Nico Hoerner and Dansby Swanson entrenched on the middle infield, Shaw's fastest path to Wrigley could be through the hot corner. There has to be substantial development on defense before Shaw is a big leaguer, but he looks like an impact offensive player.",,"sa3022615"
33,0,"Kevin Alcántara","CHC","CF","ST",2024,"50","High",,"21.6666666","6' 6""","188","R","R",2018,"J2","NYY",1000000,"Dominican Republic","Still very young and very toolsy, Alcántara is a volatile mix of high-risk and high-ceiling. Built like Jerami Grant, Alcántara's long limbs provide him with some natural power, but also sometimes make his swing hard to time correctly, especially against breaking balls below the strike zone. His lanky build also has plenty of room for added muscle, and the fact that he’s already a 20-homer guy while still having room on his frame for another 20 pounds or so portends a potent power profile down the line. Alcántara is so long-limbed that he'll likely always have swing-and-miss issues (they may get worse as he faces big league fastballs), and the fact that he's chase-prone doesn't help. He’s inconsistent in games, sometimes looking like a stud and other times looking somewhat uncoordinated and out of sync with his body. That's a pretty common problem for young hitters built like this, and we don't want to get fatigued with a player who has been on our Top 100 list since after his first pro season. Center fielders whose contact profiles resemble Alcántara's include Jose Siri, Michael A. Taylor, James Outman, and Jazz Chisholm Jr., guys whose performance tends to vary a lot year-to-year, and the same will likely be true of Alcántara. 
Importantly, he is a plus runner and is currently a defensive fit in center field. He's gotten very good at the minutiae of the position, like running to a spot and positioning himself to throw before he's collected the baseball. He'll probably need to sustain competence in center field in order to make this projection hold true, but we think he will. Alcántara wrapped 2023 at Double-A and then had a stint in the Arizona Fall League. The 2024 season will be his second option year. With Pete Crow-Armstrong entrenched ahead of him, it's possible that a combination of roster pressure and Alcántara's value to other teams (who think he can play center field) relative to the Cubs (who have PCA) put him in the crosshairs of a trade fit.","2sIOce13Y4M","sa3008752"
34,2,"Jacob Misiorowski","MIL","SP","ST",2026,"50","High",,"21.9416666","6' 7""","190","R","R",2022,"Draft","MIL",2350000,"Crowder College","The loose and lanky Misiorowski was up to 95 mph and sitting 91-93 early in 2022 while Midwest JUCOs were still dealing with cold conditions. Throughout the season, his velocity not only climbed back into the 94-97 range that he had shown during the fall of 2021, but blew right past it, and Misiorowski was often up to 100 leading up to the draft. He sat in the upper 90s and touched 100 several times during the MLB Draft Combine, while also flashing a plus slider with huge length. He was ranked 24th on the FanGraphs draft board but fell all the way to pick 63. By the time he was pitching at 2022 instructs, Misiorowski had already added a second breaking ball to his repertoire and looked incredibly nasty, though whether he'd find the plate in any given outing was highly variable. That continued in a caricatured way in 2023, as Miz accrued 20 starts across three levels, totaled 71.1 IP, struck out 35% of opposing hitters, and saw his walk rate climb at each stop, culminating in a gnarly 15% BB% at Double-A Biloxi. 
Misiorowski's fastball averaged 97 mph in 2023 and touched 102. It was one thing to see him do that three innings at a time coming off prolonged rest during 2022 instructs, and another to watch him do it across 70 innings. He gets way down the mound and creates tough angle on his fastball at the top of the zone. His breaking balls also have elite quantifiable movement. His curveball bends in around the 82-85 mph range with gigantic lateral wipe, while his slider is more likely to be 84-87 mph. So many of Miz's breakers are nowhere near the zone, and they generated a slightly below-average chase rate for a slider because hitters weren't biting. 
Misiorowski still hasn't totally grown into his long-limbed body and has way below-average release consistency and command. Lots of scouts and clubs were very fearful he was a relief-only prospect before he was drafted and that's still the case. You can't walk as many hitters as Misiorowski has and be a reliable big leaguer, let alone a star, but as a JUCO prospect with just one year of pro instruction so far, there is huge developmental projection here, as well as the physical characteristics you're looking for in an impact arm. The power and balance of his lower half is remarkable and at a loose 6-foot-7, Miz has the frame to withstand a starter's workload as he adds strength. Obviously we're projecting substantially on Misiorowski's ability to command the baseball for him to grade out this highly. His ceiling as a reliever is big enough that this ranking might be correct even if he never throws enough strikes to start.","eL000Q5EAxA","sa3020644"
35,2,"Noah Schultz","CHW","SP","A",2027,"50","High",,"20.6027777","6' 9""","220","L","L",2022,"Draft","CHW",2800000,"Oswego East HS (IL)","After Schultz became the first high school pitcher selected by the White Sox in over 20 years, the lanky lefty missed much of his first season due to a flexor strain. Over the course of the 10 starts he did make, he allowed just four earned runs (all in the same game) and handily outmatched his Low-A opponents, who put a mere 13 balls in play while posting a measly .148/.179/.148 line. He pulled this off thanks to a mid-90s fastball and a devastating 79-82 mph horizontal slider that consistently sent confused bats a-flailing. The fastball/slider combo was more than enough to make Schultz stand out in 2023, and if he can improve on the consistency of his changeup, which currently flashes above average and saw an uptick in usage toward the end of the season, he could unlock a more robust arsenal and add to the impact of his slider. 
His height, build, arm slot, and slider quality (seriously) have inspired inevitable comparisons to famed photographer Randy Johnson, though it’s far too early to hang such expectations on a 20-year-old with just 27 professional innings. His slider <em>is</em> that nutty, though. Schultz has filled out physically since being drafted, which is promising in terms of his durability and arm strength, but his season nevertheless came to an abrupt end when he went on the IL with a left shoulder impingement in mid-August. We want to see Schultz demonstrate starter durability before absolutely stuffing him on our overall prospect list, but he has the talent to be one of the top couple of pitching prospects in the sport if he can sit 94-95 like this across 120-plus innings.","hb_PKzm1MTQ","sa3020949"
36,2,"Max Clark","DET","CF","A",2027,"50","Med",,"19.225","6' 1""","205","L","L",2023,"Draft","DET",7700000,"Franklin HS (IN)","Clark was a well-known, top-of-his-class high schooler several years before he was draft eligible because of his consistent, superlative performance in travel ball tournaments. He has sublime feel for contact and can really run, presenting the Tigers with an old school leadoff hitter's profile as he enters pro ball. 
With barrel control well beyond his years, Clark has rare hit tool projection for a high school prospect, spraying flush, all-fields contact with remarkable consistency. Though his swing doesn't feature big lift and Clark lacks overt, frame-based power projection, the amount of contact he makes and its quality should enable him to hit for plenty of in-game power in pro ball — it will just likely manifest as 40 or 50 doubles rather than 30-plus home runs. 
Clark has Corbin Carroll's high school skill set with something closer to a prototypical major league build and more present physicality than Carroll had at the same stage. It's not as though Clark is put together like high school Manny Machado or Ken Griffey Jr., but he's sinewy and strong, especially in his lower half. While some weight room warriors (like Spencer Torkelson and Jarred Kelenic) may have gotten so muscular and stiff that they began to have problems dipping to contact pitches low in the strike zone, Clark's natural barrel feel should help mitigate this. He has special hit tool projection and speed, the latter of which should help enable him to stay in center field even though his feel for the position is only fair. Clark projects as an everyday center fielder whose pathway to superstardom is dependent on him either developing more home run power than I expect, or having elite plate discipline and on-base ability. He chased so infrequently after the draft that I believe the latter scenario stands a better chance of happening.","yt4_ilKyXhE","sa3022683"
37,0,"Termarr Johnson","PIT","2B","ST",2027,"50","High",,"19.7527777","5' 8""","185","L","R",2022,"Draft","PIT",7219000,"Mays HS (GA)","The fourth pick in the 2022 draft, Johnson looked like he might be a quick-mover. His post-draft foray into pro ball featured its fair share of awkward swings, and Johnson missed the first month of 2023 with a hamstring injury. He struggled very badly with strikeouts upon return, but he cut his Ks down to 20% after the All-Star break and hit .260/.451/.487 the rest of the season, which includes five weeks at High-A Greensboro. More impressive was that he nearly matched his strikeout total with walks. By the end of the season, Johnson’s 21.9% walk rate across Low- and High-A was the highest of any minor leaguer with as many at-bats as he accrued. As that would imply, Johnson kept his chase rate in check at both levels, though his patience bordered on passivity, with a swing rate below 39%. 
There is a lot of swing-and-miss happening here, more than we projected when Termarr was coming out of high school, because his swing is so completely geared for power that he sometimes corkscrews himself into the ground. Termarr has a lot of juice, and after he looked like a slap hitter at times during his 2022 debut, he clubbed 18 homers in 2023. He has huge offensive upside for a middle infielder, especially if the power can be combined with a high OBP. We thought Termarr could have played a passable college shortstop and that he might be developed there initially as a pro, but instead he's played second base almost exclusively and he's flashy, if a bit uneven there. With time he should be a slugging second baseman with peak years of 30 homers and plus OBP.","jQuL4t_v8Lw","sa3020214"
38,0,"Leodalis De Vries","SDP","SS",,2030,"50","High",,"17.4194444","6' 2""","190","S","R",2024,"Intl15","SDP",4200000,"Dominican Republic","De Vries is a do-everything, switch-hitting infielder with power from both sides of the plate. There are international scouting personnel whose club reports on De Vries say ""everything is at least plus,"" that he's a no-doubt shortstop with a 60- or 70-grade arm and a projectable frame, and one executive considers him the best international prospect in more than a half decade. 
De Vries can really bang from both sides of the plate. He already has oppo home run power from the left side and can drop the bat head to golf out some emphatic pull-side shots. He isn't so lanky and big-framed that you worry he'll move off of shortstop, and his twitch and arm strength give him a great chance of not only staying there but being an above-average defender or better. It's uncommon for an international amateur prospect to enter pro ball as a 50 FV player, and the track record of such players is mixed due to the volatile nature of this talent pool, but the word of mouth buzz around De Vries is deafening. He signed with the Padres for $4.2 million in January.",,
39,0,"Emmanuel Rodriguez","MIN","CF","ST",2025,"50","Med",,"21.0333333","5' 10""","215","L","L",2019,"J2","MIN",2500000,"Dominican Republic","Rodriguez is one of the more bizarre and fascinating prospects in the minors, as he emphatically checks some key scouting and analysis boxes, but is very flawed in some other ways. Injuries (a knee sprain in 2022 and abdominal strain in 2023) and the pandemic have limited Rodriguez to 183 games since he signed in 2019, but when he has played, he's posted a career .242/.413/.495 line, and hit 16 homers and nine triples in just 99 games last season. Rodriguez has absurd plate discipline rivaling that of org-mate Edouard Julien (chase rate below 20%, virtually no uptick with two strikes), as well as plus-plus measureable power (108 mph 90th% average), which is amazing at age 20. 
Rodriguez can also really go get it in center field. His reads, routes, instincts and ball skills in center are all spectacular, and right now he has the foot speed to play there. ""Right now"" is key, and this is where Rodriguez's profile takes a bit of a turn and becomes difficult to wrangle. Rodriguez is a stocky 5-foot-10, 215 pounds or so already at age 20. He glides around the outfield with ease but whether that will still be true even three or five years down the line is not guaranteed because his body is already maxed out. In many of Rodriguez's swings you can see his stiffness, especially in his hips, which is atypical of impact career big leaguers. His compact build and short levers allow Rodriguez to turn on inside pitches with huge power, but he struggles badly to get on top of fastballs up and away from him, and his contact rates are near the bottom of the big league scale. It's hard to predict how long some of Rodriguez's skills will hold water, specifically his power and defense. 
There are a lot of Trent Grisham similarities here in terms of Rodriguez's build, elite minor league walk rates, and hit tool issues. Grisham has hit below the Mendoza line each of the last two seasons, and his contact rates both overall and in the strike zone are better than Rodriguez's were in 2023. James Outman, who presents a more traditional athletic look but has similarly poor contact skills, is another okay comp to feel good about projecting Rodriguez this strongly despite what will probably be a hit tool near the bottom of the scale.","-XltguAldkY","sa3014693"
40,3,"Jeferson Quero","MIL","C","ST",2024,"50","High",,"21.4277777","5' 11""","215","R","R",2019,"J2","MIL",200000,"Venezuela","Quero is a physical, mostly well-rounded catcher with an exciting hit/power combination and a plus arm. After he destroyed High-A for just 20 games at the end of 2022, the Brewers sent Quero straight to Double-A in 2023, and he responded by slashing .262/.339/.440 and upping his previously concerning walk rate to 10%. He also more than doubled his previous career home run total by swatting 16 of them, though Biloxi and many Southern League ballparks tend to inflate homers. 
Quero gets right on top of the plate and is looking to pull the ball in the air as much as possible. He is best at snatching fastballs up around his hands and lining them down the left field line, which is how he does most of his extra-base damage. This approach can leave him vulnerable to stuff on the outer edge, which he sometimes struggles to even reach, but so far it was worked for Quero, who has never struck out more than 19% of the time at any minor league level. Quero's 85% in-zone contact rate would be top 10 among big league catchers, but his overall contact rate is more toward the middle of that position group because, despite his uptick in walks, Quero is still pretty chase-prone. His swing rates (56-57% the last two years) are way up there with the Mario Felicianos, Francisco Mejías and Jorge Alfaros of the world, predecessors whose monster tools have been severely undercut by their voracious approaches. Yainer Diaz had a rock solid 2022 debut with similar rate stats, and Quero is a better defender than Mejía (identical rate contact stats), so we can project him north of Mejía's outcome pretty comfortably. 
Quero can get caught in between whether he wants to block or backhand pitches in the dirt to his right, but otherwise he's a good defensive catcher, especially for a 21-year-old. He has a plus arm and routinely pops below 1.9 seconds, and his receiving and pitch framing are much better than most college-aged catchers. He's now on Milwaukee's 40-man and is a good enough defender that they should feel comfortable with him getting big league time in 2024 if anything happens to William Contreras or Gary Sánchez. Long-term, he projects as a primary catcher, though Contreras' emergence might complicate things.","Q5KxKyggNws","sa3015407"
41,0,"Noelvi Marte","CIN","3B","ST",2024,"50","Med",,"22.4055555","6' 0""","210","R","R",2018,"J2","SEA",1550000,"Dominican Republic","Marte's stock has waxed and waned at this site, often in lockstep with his conditioning. He looked heavy and haggard during the 2022 Arizona Fall League after a long and eventful year during which he played some winter ball for Gigantes del Cibao, saw 520 regular season plate appearances, changed organizations as the highest-profile prospect in the blockbuster Luis Castillo deadline deal, went to Germany as part of Team Spain's WBC qualifier roster, and then came back to the US and played for another six weeks in the Fall League. He looked rejuvenated in 2023 and slashed .279/.358/.454 split between Double- and Triple-A before debuting to the tune of a .316/.366/.456 line in 123 major league PAs. Marte continued to look svelte in the D.R. during the winter until he pulled a hammy. As of Top 100 publication time he isn't running at full speed as camp begins, but assuming he recovers for Cactus League action, he'll be part of a host of exciting young hitters competing for an Opening Day lineup spot in Cincinnati. 
Marte is a fairly skilled hitter with good plate coverage, only really whiffing a bunch against well-executed sliders, which is true of most hitters. Though he's incredibly physical and has above-average raw power already at age 22, Marte's swing is not actualized for power. He tends to cut down on the baseball and can really only elevate hanging breaking balls and pitches toward the top of the strike zone. Some of this is caused by Noelvi's swing path and some of it is caused by imprecise feel for sweet spot contact; Marte hits a lot of choppers and grounders even though he doesn't whiff all that much. He's still a well-rounded player who looked as engaged and agile on defense in the big leagues as he ever has. He projects as an everyday third baseman with a shot to be a more impactful player if he finds a way to get to his power more consistently.","CEY7xdrO7zA","26517"
42,0,"Brooks Lee","MIN","SS","ST",2024,"50","Med",,"23.0777777","5' 11""","220","S","R",2022,"Draft","MIN",5675000,"Cal Poly","Our 36th-ranked draft prospect as a high schooler in 2019, Lee was a coveted prospect as a prep player, but his strong commitment to Cal Poly (where his dad coaches) and some general concerns about his physical longevity due to a back issue pushed the industry's assessment of him down, so he went to school. Knee and hamstring surgery effectively knocked him out for the 2020 season, then Lee raked in his sophomore and junior years with a great Cape Cod stint sandwiched in between. Before the 2022 draft there was again industry buzz that some teams were off Lee because of his medical, and he fell deeper into the draft than is typical for a college shortstop with his statistical track record. 
Minnesota sent Lee to High-A almost immediately and he raked there, then had a very solid first three months of 2023 at Double-A Wichita before his performance and visual scouting look fell off late in the year at Triple-A St. Paul. There was a definite physical regression for Lee, who looked a little less trim and rangy than he did in 2022. Because of his size (Brad Miller is a fair body comp), straight line speed (he's heavy-footed from home to first, in the 4.5s) and his medical, clubs have tended to project him to third base, and Lee began to see time there about once a week after he was promoted to St. Paul. Our projection has always been a little more bullish about him staying at short, at least for a while, largely based on Lee's great feel for the position. He has quick actions and is adept at positioning his body to be ready to throw as he fields the baseball, his transfer is quick, and his internal clock is well-calibrated. He finds creative ways to make timely, accurate throws, and even though it sometimes looks awkward and like he is making the play harder than it needs to be, Lee makes a lot of fun, flashy plays for a bigger dude. We're less certain about his shortstop projection now than we were a year ago because he looked less mobile later in 2023. It's possible he was just gassed from playing many more games than he had before, or it's possible Lee is more permanently outgrowing the position like a lot clubs anticipated prior to the draft. 
Lee was also a little more chase-prone in 2023, especially after he was bumped to St. Paul, where his swing decisions on fastballs were particularly bad. He's still capable of moving the barrel all over the strike zone and makes lovely, all-fields contact. A lot of Lee's underlying data is still pretty strong, especially his 87% in-zone contact rate and his expected batting average and wOBA based on contact quality. It's not such excellent hit data that we're ignoring Lee's pimply 2023 altogether — his grade has been down-shifted here — but he continues to project as an average everyday player even if that's as a good-gloved third baseman.",,"sa3019973"
43,0,"Jordan Wicks","CHC","SP","ST",2024,"50","Low",,"24.5305555","6' 3""","220","L","L",2021,"Draft","CHC",3130000,"Kansas State","Wicks is an athletic lefty with a six-pitch mix that allows him to keep hitters off balance thanks to impressive command of his arsenal. He has two distinct fastballs that sit in the low-to-mid-90s, as well as two distinct breaking balls — a high-70s curveball and a low-80s slider — but it's his plus changeup that gives hitters fits most often. Wicks has a vertical arm slot that helps his fastball play as a bat-misser at the belt by imparting ride on the pitch. He's also added an upper-80s cutter to flesh out the middle part of his velocity range. As noted in our previous write-ups, the lefty-with-a-changeup-and-command combo is one that tends to at least earn a spot at the back of a starting rotation, and Wicks has now added a host of different breaking balls to go with it. He's been a low-variance Top 100 prospect for a couple of seasons now, as we expect he'll hold down a no. 4 role on a good team. He's competing for a rotation spot this spring and has looked very solid in Cactus League play as of Chicago's Imminent Big Leaguers list publication.","IEr7AM-dpEA","30094"
44,0,"Rhett Lowder","CIN","SP","ST",2024,"50","Low",,"22.0111111","6' 2""","200","R","R",2023,"Draft","CIN",5700000,"Wake Forest","Lowder's performance steadily improved throughout his college career, which ended with a bang. He went 15-0 in 17 starts for Wake Forest prior to the College World Series and posted a sub-1.00 WHIP and sub-2.00 ERA, then did not pitch at an affiliate after the draft. He brings mid-90s heat, a plus-plus slider, and a potentially plus changeup to the party, and could be a mid-rotation option in Cincinnati by the middle of the 2024 season. 
Lowder's best pitch is his upper-80s slider, which has considerable length for a pitch that hard. The sink/tail action of his fastball limits its bat-missing ability in the strike zone, but its movement pairs nicely with his slider and it's hard for hitters to cover both of those pitches when they're located well in sequence. Lowder's fastball also has utility running back over the glove-side corner of the plate, and he might be able to accentuate the sink on his fastball over time. His fastball/slider combo is very similar to Brady Singer's coming out of Florida, but Lowder's changeup has much more natural action and movement than Singer's did. If he can refine his command of that pitch, he will have a second consistent bat-misser to go with the slider. 
A gangly, unspectacular athlete with a theatrical, cross-bodied delivery, Lowder clearly works hard to keep his somewhat awkward frame in great shape. His bow-legged front side and the stiffness in his hips and lower back contribute to a funky operation that aids in deception, but is an atypical look for a big league starter. He's a high-floored, quick-moving mid-rotation starter who could contribute to a run at the NL Central crown in 2024.",,"sa3023360"
45,4,"Joey Ortiz","MIL","2B","ST",2024,"50","Low",,"25.6611111","5' 9""","190","R","R",2019,"Draft","BAL",450000,"New Mexico State","A fourth rounder in 2019, Ortiz has a career .286/.357/.449 line in the minors and reached the big leagues in 2023. With so many other infielders also in the upper-level mix for playing time, chiefly Gunnar Henderson and Jackson Holliday, the Orioles traded Ortiz as part of a package for Corbin Burnes. His profile was initially rooted in his plus combination of defense and feel for contact, but in 2023, he traded some of that contact for meaningfully more power. Ortiz’s underlying contact quality took a leap across the board, most notably his hard-hit rate, which rose from 31% in 2022 to 46% in 2023. This was coupled with a noticeable shift in his physicality, as Ortiz looked bigger and stronger. Ortiz’s contact rates, both overall and in-zone, dropped a tad compared to 2022 and he’s a bit chase-prone, but his well-rounded offensive output should clear the relatively low bar for middle infielders. 
While a capable shortstop, Ortiz is not quite the defender that Willy Adames is. Unless Adames is also traded, Ortiz is more likely to wind up playing second base, where he is an exceptional, Gold Glove-caliber defender. His range and acrobatics are rare for that position. If not for Rhys Hoskins’ presence at first base, Milwaukee’s current projected group of Adames, Ortiz, and Brice Turang would be one of the best infield defenses in baseball. Ortiz projects as an everyday middle infielder at either position and is talented enough to be a part of Milwaukee’s core for the next half decade.","oLEMiIO78pw","25493"
46,3,"Colt Keith","DET","2B","ST",2024,"50","Med",,"22.5777777","6' 2""","245","L","R",2020,"Draft","DET",500000,"Biloxi HS (MS)","Keith was a talented two-way high schooler who moved from Utah to Arizona to Mississippi over the span of just a few years, and his draft spring was interrupted by the start of the pandemic. Teams mostly understood his commitment to ASU to be pretty loose, and Keith signed for an over-slot $500,000 as a fifth rounder in the 2020 draft. Injuries limited him during his first two full seasons in the Tigers org, but he mashed when he played. He looked great during the 2022 Arizona Fall League, then clubbed nearly 70 extra-base hits in 126 games throughout a fully healthy 2023 split between Double- and Triple-A. During his stay in Toledo, Keith began to see more time at second base rather than his native third. He's a bad defender at both spots but has a much greater chance at becoming passable (read: hidden) at second, where some of Keith's issues with throwing are masked. 
Keith's offensive prowess is rooted in his raw power. He nearly killed managing editor Meg Rowley and her laptop in the auxiliary press box during his Futures Game BP when two or three of his dingers clanged off the face of the deck above her. Keith clocks fastballs well and is short to the top of the strike zone. He struggles with soft stuff in the bottom third of the zone, especially changeups, which he tends to swing over the top of. This will likely prevent Keith from being a plus contact hitter, but I don't view him as being so risky in this regard that it threatens his whole profile. He's a flawed player and his WAR output will be impacted by his lack of position, but Keith is going to slug enough to profile as either a DH or bad-gloved second baseman.
Keith has bulked up considerably since signing, and the effects of his increased size are evident on defense. Once a fair bet to stay on the middle infield, he is now fighting just to stay at third. He is stiff and bulky, his actions are well below average, and while he shows you a big arm when he gets to wind up and really let it eat, he struggles to throw from odd platforms. It's feasible a team could live with him playing third base situationally, but it's not ideal, and Colt is a 30-grade defender right now. He is similar to Nolan Gorman in the way he has trended athletically on defense, but there's enough bat to support an everyday fit at the bottom of the defensive spectrum. Despite the underwhelming defensive forecast, Detroit clearly likes what they have in Keith: In January, the Tigers signed him to a six-year, $28.6 million extension with three club options and incentives that could push it's value to $82 million.","XpRBXuPDNN8","sa3014474"
47,2,"Austin Wells","NYY","C","ST",2024,"50","Low",,"24.6666666","6' 0""","220","L","R",2020,"Draft","NYY",2500000,"Arizona","Wells grew on me pretty substantially during my offseason review. He still has some warts, which I'll talk about in a second, but his overall offensive ability should provide enough impact for him to break the profound University of Arizona hitter drought the game has experienced since Scott Kingery's swoon. 
Wells' swing is beautifully connected from the ground up. The blend of his barrel control and the natural lift in his swing gives him a potent contact and power combination, which will likely make him a valuable hitter even if he ends up being unable to catch. His peak exit velos weren't incredible in 2023, but Wells was working back from a rib injury that may have sapped his explosiveness. In the past, I've been concerned about his inability to make contact with fastballs running up and away from him, but he wasn't as helpless against them when you put on his tape from late in 2023 tape. Anyone with a swing as uphill as Wells' is going to swing underneath a lot of fastballs in that location, but he snatches his fair share of them and is dangerous enough in this part of the zone to alleviate some of my past apprehension. More of a problem during his big league stint toward the end of 2023 was Wells' tendency to chase and swing over the top of changeups. Wells was a steady 11% (or better) walk rate guy in the minors, but he seemed to be pressing during his cup of coffee. I'm inclined to bet that his true skill level is closer to his historical norms. 
Even an average hit/power combination would be a big deal if Wells can remain a catcher. Ever since a severe shoulder injury he suffered in high school, Wells has had issues throwing out runners. Runners have had a 82% success rate against him in pro ball (343 total stolen bases in 308 pro games). His pop times are fine (1.90 during his big league trial per Baseball Savant), but his footwork is inconsistent as he leaves his crouch, causing inaccurate throws. This issue needs long-term attention, but Wells has made considerable progress as a receiver and ball-blocker despite his below-average hands and limited lateral mobility, the result of his one-knee style. I'm now more bullish than I've ever been about him staying behind the dish. It looks like the Yankees might carry three catchers on their big league roster, which would give them the flexibility to catch Wells when the starting pitcher is good at holding runners and give him some run in left field on other days (he played left a little bit in college). This is a great way to get Wells' feet wet as a big league defender while also getting his bat into the lineup regularly, but ideally he'll improve enough as a thrower to simply be the primary catcher for the better part of the next half decade.","nze40aRSOeo","27562"
48,4,"Jace Jung","DET","3B","ST",2024,"50","Med",,"23.4388888","6' 0""","230","L","R",2022,"Draft","DET",4590000,"Texas Tech","Jung hit .328/.468/.647 over his career at Texas Tech, with more walks than strikeouts every single year, and despite lacking an obvious defensive home, he was one of the 2022 draft's most stable prospects because of his track record. Jung seemed gassed after the draft and hit just one homer in 30 games, but his power output exploded in 2023; he clubbed 28 homers, half of them in just 47 Double-A contests during the last month and a half of the season. After 128 regular season games, Jung was sent to the Arizona Fall League, where he played third base. Since his sophomore year of college he had only played second base, and while he's a capable pivot man on double plays, Jung is otherwise a below-average keystone defender. Some of what Jung struggled with at second base will follow him to third, but his lack of footspeed will be less of an issue, and Jung's arm looked suited for the left side of the infield during his Fall League trial. Ideally Jung can be capable enough to shuttle back and forth between both spots. 
Jung is dangerous all over the zone. He can crush pitches on the outer third into the oppo gap, and he'll hit some epic pull-side homers. His swing has big, aggressive launch and he has enough feel for the barrel to weaponize it, though his style of hitting does cause him to whiff quite a bit in the strike zone. He does skilled, hitterish things in order to slug, but because of his style, Jung is likely to make below-average rates of contact. Ryan McMahon, or perhaps the last few years of Max Muncy (without such good plate discipline), is a good barometer for what to expect from Jung: a below-average infield athlete who trades a little bit of contact to get to huge power. Jung is talented enough to win a job at some point fairly early in 2024. The newly extended Colt Keith is a second base-only fit if he's going to play the infield at all, which would force Jung to third. Though flawed, Jung should slug enough to produce like a 2-ish WAR player annually and be a core build-around guy in Detroit.",,"sa3019992"
49,0,"Cole Young","SEA","2B","ST",2026,"50","Med",,"20.6361111","6' 0""","215","L","R",2022,"Draft","SEA",3300000,"North Allegheny HS (PA)","Young's profile has shifted pretty dramatically since he was drafted, as he has added considerable bulk to his frame. As a high schooler, he was among the more polished shortstop defenders in his class and was performing well from a bat-to-ball standpoint on the showcase circuit. He looked like a high-floor middle infield prospect with a modest ceiling. His upper body has become much stronger, and Young has traded some contact for power, while his increased size has detracted from his defense and has made it more likely that he ends up at to second base as he climbs the minors, though he's still mostly playing shortstop now. His hands and exchange are still good, but his arm is not and his future range might not be, either. 
The good news is that Young is a very well-rounded offensive player whose OBP skills and burgeoning power will profile at the keystone. Though he sometimes struggles to cover the high-and-away portion of the zone, he otherwise has great plate coverage and a patient approach. Most of his in-game power is currently isolated to lower pitches, which Young sprays all over the field. His surface-level SLG from 2023 (Young hit .277/.399/.449 combined in the Cal and Northwest Leagues) was above his current true talent level, but across parts of two seasons he now has an incredible .402 career OBP. More likely to be a good everyday player than a star, Young is on pace for a September 2025 cup of coffee.",,"sa3020459"
