Rank,Top 100,Trend,Name,Pos,Player Type,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,PlayerId
"11",,,"Cam Smith","3B","ColH","21.3861111","6' 3""","220","R","R","Florida State",,"40+","High","Elite size and power projection. Big, broad-shouldered third baseman with rare defensive ability for a player his size. Big all-fields power, often inside-outs the baseball because he's late, but has the strength to do damage that way. Extremely crude feel to hit and feel for the zone. Lack of plate discipline might be a serious problem on its own. Tools and ceiling should keep him in afloat in the second round despite a risky profile.",,
"12",,,"Konnor Griffin","RF","HSh","18.2138888","6' 4""","205","R","R","Jackson Prep (MS)","LSU","40+","High","One of the precious few 2024 high schoolers who enters their senior spring with juicy tools. Risky, long-levered corner outfield prospect with huge power projection and plus speed. Reads and routes in the outfield aren't great even though Griffin has the speed for center field. Bat-to-ball track record is very good across multiple years on showcase circuit, but lever length often makes Griffin late on fastballs and this will probably get worse in pro ball. Incredible twitch for a prospect his size, changes direction on a dime, explodes out of the batter's box. Toolsy high school outfielders like this typically come off the board in the middle-third of the first round.",,
"13",,,"Noah Franco","RF","HSh","18.1611111","6' 3""","188","L","L","IMG Academy (FL)","TCU","40+","Med","Two-way player who I prefer as a hitter. Well-rounded prospect with contact-oriented foundation and the physical projection to layer power on top. Tracks pitches well, guides barrel all over the zone, all fields line drive/groundball contact right now. Frame has room for mass and strength. Hit tool might take yet another leap as he focuses on hitting in pro ball. Late-first round prospect.",,
"14",,,"Carter Johnson","SS","HSh","18.3861111","6' 2""","180","L","R","Oxford HS (AL)","Alabama","40+","Med","Hitterish high school shortstop. Smooth lefty stroke, obvious barrel feel, great vertical plate coverage and all-fields spray. Medium frame and physicality, much more a smooth and effortless style of play than an explosive one. Teams commonly use late first round picks on prospects like this and hope to develop their strength. If Johnson shows that he's already taken a bit of a leap in this way as a senior, then he'll climb the draft board.",,
"15",,,"Brody Brecht","SP","ColP","21.7888888","6' 4""","185","R","R","Iowa",,"40+","High","Epitomizes crude arm strength. Super stiff, odd arm action that somehow generates upper-90s velo. Big, sturdy frame similar to Jacoby Brissett. Slider-first approach to pitching because his fastball command is so raw. It has generated nearly elite miss and has big vertical drop for a pitch averaging 87 mph. Control is so unkempt that Brecht is overwhelmingly likely to be a reliever. Teams still take a shot on guys like this in the middle of the first round.",,
"16",,,"Caleb Lomavita","C","ColH","21.6472222","5' 11""","200","R","R","Cal",,"40+","High","Compact catcher with plus arm and pull pop. Slugged .612 as a soph. Toned down his leg kick during summer ball and it robbed him of some power. Ditching the leg kick may have been with an eye on simplifying things to limit Lomavita's chase, which is an issue. Covers the top of the zone well, average overall bat-to-ball skill. Arm is plus more because of accuracy than strength; Lomavita's release is effortless and consistent. Needs to improve as a receiver. Pretty toolsy catching prospect with an early second round look.",,
"17",,,"Tommy White","1B","ColH","21.3583333","6' 1""","228","R","R","LSU",,"40+","Med","Barrel-chested college baseball cult hero with plus-plus bat speed. White has slashed .368/.429/.740 as an underclassman with 51 homers in 121 games. Thicker build in the pre-2023 Eugenio Suárez mold. Super loose and explosive rotator. Surprisingly mobile, low-to-the-ground defender for his size; arm strength fits at third. Hands are not great but has a better chance to stay at third than you'd guess when he got off the bus. Peak measurable power rivals that of big league sluggers. Potentially fatal chase issues — 56% swing rate, 38% chase rate in college — are here, especially because we're talking about a right/right corner profile. Much more of a big league athleticism/bat speed look than some other flawed hitters in the 2024 class. Projects as a Ty France type because of the swing decision issues and third base trending toward first base defensive fit, but White has more power.",,
"18",,,"Braden Montgomery","SIRP/RF","TWP","21.2361111","6' 2""","201","S","R","Texas A&M ",,"40+","High","Comes from a family of several Division-I athletes that also supposedly has a helipad in their yard so his former Iowa track athlete mom can be airlifted to perform emergency surgeries. A two-way player and switch-hitter with plus power. Above-average bat speed from both sides of the plate. Crude power. Swing elements are raw from both sides, especially the left. Hilariously strong arm; hosed a guy from the warning track at Scottsdale Stadium during the Pac-12 tournament. On the mound, stuff was down in 2023. Has peaked in 94-97 range, was more in the low-90s late in 2023 and on Cape Cod. Strapping 6-foot-3 or so, has prototypical pitcher's frame. Possible to draft as a two-way guy because his innings count will probably be limited upon pro entry since he's only been a reliever in college. Fun developmental prospect with hit tool risk on one hand and relief likelihood on the other.",,
"19",,,"Slade Caldwell","CF","ColH","18.0638888","5' 8""","175","L","L","Valley View HS (AR)","Ole Miss","40+","Med","Plus-plus running quarter-stick of dynamite. Stocky and explosive center fielder with quick wrists in the batter's box. Catalytic qualities, plus contact performance on the showcase circuit. Body is very muscular and closed to maxed out, but so was Jett Williams'. Late first round prospect.",,
"20",,,"Mike Sirota","CF","ColH","21.0694444","6' 3""","187","R","R","Northeastern",,"40+","Med","Speedy power-over-hit center field prospect with plus plate discipline. Tightly wound athlete with narrow build, wiry and strong. Hands are especially lively with low-ball power. Likely going to swing underneath a ton of in-zone fastballs. Speed fits in center; reads and routes need polish but the footspeed is there. On-base ability buoys profile and gives Sirota an everyday shot; projected issues with the hit tool and his flavor of build/athleticism look more like a part-time outfielder.",,
"21",,,"Austin Overn","CF","ColH","21.1694444","6' 0""","175","L","R","USC",,"40+","High","Simon Muzziotti body comp, some swing similarities too. Plus-plus runner and potentially plus center field defender who needs to get stronger. Played some wide receiver at SC. Gap-to-gap speed on defense, loose rotator in the box with average contact ability and below-average power. Has a shot to break out in 2024 if he adds strength and pop.",,
"22",,,"Vance Honeycutt","CF","ColH","21.15","6' 3""","205","R","R","North Carolina",,"40+","High","Power/speed center field prospect with hit tool risk. Has posted a .279/.413/.594 career line with much better performance as a freshman. Has the speed for center, but ball skills are only fair. Stiff, deep load of his hands when he swings leaves him vulnerable to high heat. Below-average swing-and-miss data. More average than plus center field defense puts him into more of a complementary role bucket than that of a true starter.",,
"23",,,"Cam Caminiti","SP","HSp","17.925","6' 2""","205","L","L","Saguaro HS (AZ)","LSU","40+","High","Very similar to Marlins 2023 comp rounder Thomas White. Prototypical frame, mid-90s arm strength at peak, big breaking ball depth. Timing of arm swing is often late, command can waver. Lefty prep dev project with frame/breaking ball combo driving excitement.",,
"24",,,"Charlie Condon","1B","ColH","21.2416666","6' 6""","211","R","R","Georgia",,"40+","High","6-foot-6 right/right power over hit corner profile. Set SEC freshman record for homers and slugged .800. Plus bat speed, 70 measurable raw power. Trim and loose for a player his size. Swing is quite grooved, geared for power on pitches down-and-in like Matt Vierling's, but Condon doesn't really move the barrel around with much skill right now. Apprehension around the hit tool has him more in my second round mix to start the spring.",,
"25",,,"Luke Holman","SP","ColP","21.5138888","6' 4""","210","R","R","LSU",,"40+","Med","Physical righty, low-to-mid 90s with downhill plane. Huge curveball, 12-to-6 shape and virtually impossible for hitters to see out of Holman's hand. Body built for durability. Fastball's lack of in-zone play could be an issue. Needs to develop a third pitch, but has a better shot to start than some of the other college arms with relief risk.",,
"26",,,"Michael Massey","SIRP","ColP","21.2666666","6' 5""","230","R","R","Wake Forest",,"40+","Med","Cut/carry fastball and vertical breaking ball both miss bats. 93-95 with riding life, plus breaking ball with vertical depth. Body and mechanical consistency are better fits in the bullpen.",,
"27",,,"Hagen Smith","SIRP","ColP","20.8944444","6' 3""","225","L","L","Arkansas",,"40+","Med","Spent underclass seasons jockeying back and forth between bullpen and rotation, working just over 70 innings each year. Funky delivery is tight and violent, has a bullpen look. Low-90s fastball with deceptive ride, but best pitch is easily his low-80s slider, which has nasty, late break. Needs to find a third pitch and improve command to start; projected as a reliever here.",,
"28",,,"Griff O'Ferall","2B","ColH","21.4416666","6' 1""","185","R","R","Virginia",,"40+","Med","Contact-oriented middle infielder who is a ""maybe"" at shortstop. Lovely, rhythmic hitting hands. Great timing, wrists are quick through the zone. Below-average power, inconsistent shortstop defender. Not especially sure-handed, arm accuracy is mixed. Lack of power could make it tough to profile at non-shortstop positions. Low-variance player with a high-variance draft stock that will be influenced by whether or not he shows more power or better defense as a junior.",,
"29",,,"Jacob Cozart","C","ColH","21.5055555","6' 3""","216","L","R","North Carolina State",,"40+","Low","Glove-first catcher with plus defensive tools across the board. Agile receiver with soft hands, catches pitches moving back toward the zone. Wide-based ball blocker to the extreme. Quick out of crouch and good arm, though some throws sail on him. A little more theatrical than he needs to be on defense. Below-average offense, both hit and power. Has some low-ball pop.",,
"30",,,"Joey Oakie","SP","HSp","18.1722222","6' 0""","195","R","R","Ankeny Centennial HS (IA)","Iowa","40+","High","Young for the class, extreme drop-and-drive style delivery. Huge extension, powerful lower body. Upshot angle on 93-96 fastball with big life. Slider flashes above-average length, mostly moves laterally. Feel for release is crude, scatters pitch locations like dandelion seeds. Substantial relief risk but checks the fastball analytics box and most of the visual scouting ones. $2 million prep arm.",,
